,Gregariousness,Anxiety,Emotionality,Emotional Stability,Orderliness,Reserve,Dominance,Assertiveness,Complexity,Warmth,Friendliness,Distrust,Dutifulness,Introversion,Intellect,Sensitivity,Imagination,Agreeableness,Achievement-striving,Deliberateness,Humor/Playfulness,Self-Sufficiency,Methodicalness,Adaptability,Adventurousness,Industriousness/Perseverance/Persistence,Extraversion,Resourcefulness,Intellectual Openness,Exhibitionism,Unpretentiousness,Calmness,Leadership,Comprehension,Independence,Culture,Reclusiveness,Conservatism,Docility,Conscientiousness,Attractiveness,Negative-Valence,Morality,Self-disclosure,Happiness,Cool-headedness,Moderation,Quickness,Tranquility,Purposefulness,Toughness,Poise,Sympathy,Stability,Impulse-Control,Imperturbability,Cautiousness,Pleasantness,Efficiency,Ingenuity,Understanding,Provocativeness,Rationality,Perfectionism,Empathy,Creativity/Originality,Sociability,Tenderness,Nurturance,Introspection/Private Self-Consciousness,Cooperation,Organization,Talkativeness,Reflection,Depth,Competence,Responsive Distress,Attention to Emotions,Responsive Joy,Emotion-based Decision-making,Negative Expressivity,Positive Expressivity,Neuroticism,Anger,Vitality/Enthusiasm/Zest,Compassion,Aesthetic Appreciation/Artistic Interests,Impression-Management,Self-deception,Cognitive-Failures,Behavioral Inhibition/Activation System,Excitement-seeking,Ambition/Drive,Risk-taking/Sensation-Seeking/Thrill-Seeking,Public Self-consciousness,Need for Cognition,Non-Planfulness,Callousness,Norm Violation,Peculiarity,Irresponsibility,Workaholism,Emotional Detachment,Irrational Beliefs,Health Anxiety,Relationship Insecurity,Anhedonia,Manipulativeness,Rigidity,Submissiveness,Cognitive Problems,Non-Perseverance,Hostile Aggression,Mistrust,Depression,Fantasy Proneness,Grandiosity,Affective Lability,Romantic Disinterest,Social Withdrawal,Unusual Experiences,Self-harm,Rudeness,Hypomanic Mood Intensity,Hypomanic Exhibitionism,Tolerance,Responsibility,Self-control/Self-regulation,Forcefulness,Good Nature,Politeness,Self-discipline,Security,Temperance,Disorderliness,Amiability,Hope/Optimism,Self-efficacy,Liberalism,Timidity,Planfulness,Insight,Sentimentality,Need for Order and Cleanliness,Physical Attractiveness,Obsessive-Compulsive Symptoms,Dissociation,Gentleness,Prudence,Sincerity,Flexibility,Equity/Fairness,Fearfulness,Unconventionality,Patience,Diligence,Social Boldness,Forgiveness/Mercy,Inquisitiveness,Modesty/Humility,Greed Avoidance,Expressiveness,Liveliness,Conformity/Dependence/Need for approval,Social-confidence,Interest in Game-Playing,Self-confidence,Rumination,Love of Reading,Appearance-Consciousness,Trust,Language Mastery,Curiosity,Problem-solving,Self-acceptance,Variety-seeking,Disparagement,Activity-Level,Traditionalism,Intellectual-Breadth,Intellectual-Complexity,Machiavellianism,Locus of Control,"Locus of Control,Internal","Locus of Control,Chance","Locus of Control,Rational","Locus of Control,External",Unlikely Virtues,Joyfulness,Risk-avoidance,Belligerence,Immoderation,Self-consciousness,Vulnerability,Altruism,Cheerfulness,Openness To Experience,Interest in Food,Spirituality/Religiousness,Interest in Romance,Interest in Political Activism,Interest in Sports,Interest in Home-Making,Interest in Pets,Interest in Drinking,Interest in Gambling,Interest in Collecting,Interest in Vehicles,Interest in Self-Improvement,Interest in Gardening,Interest in Money,Interest in Shopping,Interest in Environmentalism,Interest in Exercise,Interest in Music,Interest in Children,Love of Learning,Interest in Computing,Interest in Journaling,Interest in Social Media,Interest in Watching Television,Interest in Travel,Interest in Outdoor Activities,Science Interest,Construction/Mechanical Interests,Self-esteem,Self-monitoring,ADHD,Social-discomfort,Satisfaction,Romanticism,Femininity,Harm-Avoidance,Rebelliousness,Initiative,Recklessness,Extravagance,Bravery/Courage/Valor,Judgment/Open-mindedness,Social/Personal/Emotional Intelligence,Gratitude,Teamwork/Citizenship,Wisdom/Perspective,Honesty/Integrity/Authenticity,Kindness/Generosity,Capacity for Love
Cacioppo1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT-PD,,3.0,,,,,2.6666666666666665,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,2.0,,,2.0,1.7142857142857142,2.142857142857143,3.0,2.0,3.0,2.5714285714285716,1.7142857142857142,2.7142857142857144,2.4285714285714284,2.5,1.6666666666666667,2.7,2.1666666666666665,2.625,2.6666666666666665,1.0,2.5,2.3333333333333335,3.5,1.7142857142857142,2.3333333333333335,2.6666666666666665,2.5,1.4285714285714286,1.8,1.7142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapman1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI,,,,,,,3.2,3.0,4.0,,,,4.428571428571429,3.1,4.2,,,,,,,,,,3.2222222222222223,,,,,,,3.1,,3.8,,,,,,,,,,,3.2222222222222223,,,,,,,3.4,,3.2,,,,,,,,,,,,,3.9,,,,,,,,3.9,3.6666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.3,3.4,3.6,3.3,3.6363636363636362,3.5,3.6,3.3,2.4,3.3,3.6,4.1,3.3333333333333335,3.6,3.8,4.2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foa1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foa2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0833333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldberg1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5806451612903225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEXACO_PI,,2.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.125,,3.8,3.5555555555555554,,,,,3.8,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.875,,,,,3.7,3.7,3.7,3.3,4.7,3.0,3.2,3.8,3.8,3.3,3.8,4.3,3.6,2.9,2.8,3.8,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoyle2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9583333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPI,3.6,,,,,,,,,,3.8,,2.5,,,,,,,,,,,,,,,,,,,3.5714285714285716,3.6666666666666665,,,,,,,,,,,,3.5,,,3.7142857142857144,,,3.5555555555555554,,,3.8333333333333335,,,,,,,,,,,,3.6,3.625,,,,2.9,,,,,3.5555555555555554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPI-HIC,2.6666666666666665,,,,2.2,,,,,,,,3.5,,2.5,4.5,,,3.6,,4.0,,,,,,,,,2.3333333333333335,,3.5,4.0,,,,,,,,,,,,3.0,4.166666666666667,,,,,3.2,,,,3.6666666666666665,,,3.8333333333333335,,,,,,,3.8,,3.0,,,4.666666666666667,,4.5,,,,,,,,,,,,,3.1666666666666665,,4.5,,,,,,,3.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3333333333333335,2.5,,,,,,,,,,,,,,,,,,,,,,,,,4.375,,,,,,2.5,3.5,3.5714285714285716,3.6666666666666665,3.1666666666666665,4.0,3.0,3.1666666666666665,3.8,4.5,4.0,3.6666666666666665,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPIP-IPC,4.0,,,,,,3.25,,,4.5,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPI,,2.6666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,3.625,,3.8,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.166666666666667,4.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,3.0,,,,,,,,,,,,,3.4,3.0,3.8,4.1,2.6666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levenson1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,3.6,2.4,2.8,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPQ,,,,,,,,2.5,,,4.333333333333333,2.4,,,,,4.666666666666667,,3.8,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.235294117647059,3.5,3.1,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEO,3.2,2.3333333333333335,3.7,,4.0,,,3.0,,,,,4.428571428571429,,,,4.25,,4.4,,,,,,3.3333333333333335,,,,,,,,,,,,,,,,,,4.333333333333333,,,,,,,,,,4.166666666666667,,,,4.166666666666667,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,2.2,,,5.0,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,2.6666666666666665,,,,,,,,,,,,,,,,,3.4,,,,,,4.0,3.6666666666666665,,,,,,,,,,,,,,,,,,,,,3.142857142857143,,,,,,,,,,,3.8,,,,,,,2.5,,,,,,,,,,,,,,2.9,2.9,2.3,4.4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEO5-20,,,,,,,,,,,,,,,,,,3.6666666666666665,,,,,,,,,3.3333333333333335,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORAIS,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,4.25,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.142857142857143,3.2857142857142856,3.2,3.2857142857142856,3.8333333333333335,3.5714285714285716,3.8333333333333335,3.0,2.6666666666666665,3.6,2.5,3.8,3.6666666666666665,3.1666666666666665,4.142857142857143,4.428571428571429,3.5714285714285716,3.25,4.0,3.6666666666666665,4.166666666666667,3.0,3.8,3.5714285714285716,4.333333333333333,3.8333333333333335,,,,,,,,,,,,,,,,,,,,,,,
ORVIS,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,3.4166666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.357142857142857,,,,,,3.6923076923076925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,3.6153846153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.5,,,,,,,,,,,,,,,,,,,,,
Radloff1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosenberg1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,
Scheier1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5555555555555554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
