,Gregariousness,Anxiety,Emotionality,Emotional Stability,Orderliness,Reserve,Dominance,Assertiveness,Complexity,Warmth,Friendliness,Distrust,Dutifulness,Introversion,Intellect,Sensitivity,Imagination,Agreeableness,Achievement-striving,Deliberateness,Humor/Playfulness,Self-Sufficiency,Methodicalness,Adaptability,Adventurousness,Industriousness/Perseverance/Persistence,Extraversion,Resourcefulness,Intellectual Openness,Exhibitionism,Unpretentiousness,Calmness,Leadership,Comprehension,Independence,Culture,Reclusiveness,Conservatism,Docility,Conscientiousness,Attractiveness,Negative-Valence,Morality,Self-disclosure,Happiness,Cool-headedness,Moderation,Quickness,Tranquility,Purposefulness,Toughness,Poise,Sympathy,Stability,Impulse-Control,Imperturbability,Cautiousness,Pleasantness,Efficiency,Ingenuity,Understanding,Provocativeness,Rationality,Perfectionism,Empathy,Creativity/Originality,Sociability,Tenderness,Nurturance,Introspection/Private Self-Consciousness,Cooperation,Organization,Talkativeness,Reflection,Depth,Competence,Responsive Distress,Attention to Emotions,Responsive Joy,Emotion-based Decision-making,Negative Expressivity,Positive Expressivity,Neuroticism,Anger,Vitality/Enthusiasm/Zest,Compassion,Aesthetic Appreciation/Artistic Interests,Impression-Management,Self-deception,Cognitive-Failures,Behavioral Inhibition/Activation System,Excitement-seeking,Ambition/Drive,Risk-taking/Sensation-Seeking/Thrill-Seeking,Public Self-consciousness,Need for Cognition,Non-Planfulness,Callousness,Norm Violation,Peculiarity,Irresponsibility,Workaholism,Emotional Detachment,Irrational Beliefs,Health Anxiety,Relationship Insecurity,Anhedonia,Manipulativeness,Rigidity,Submissiveness,Cognitive Problems,Non-Perseverance,Hostile Aggression,Mistrust,Depression,Fantasy Proneness,Grandiosity,Affective Lability,Romantic Disinterest,Social Withdrawal,Unusual Experiences,Self-harm,Rudeness,Hypomanic Mood Intensity,Hypomanic Exhibitionism,Tolerance,Responsibility,Self-control/Self-regulation,Forcefulness,Good Nature,Politeness,Self-discipline,Security,Temperance,Disorderliness,Amiability,Hope/Optimism,Self-efficacy,Liberalism,Timidity,Planfulness,Insight,Sentimentality,Need for Order and Cleanliness,Physical Attractiveness,Obsessive-Compulsive Symptoms,Dissociation,Gentleness,Prudence,Sincerity,Flexibility,Equity/Fairness,Fearfulness,Unconventionality,Patience,Diligence,Social Boldness,Forgiveness/Mercy,Inquisitiveness,Modesty/Humility,Greed Avoidance,Expressiveness,Liveliness,Conformity/Dependence/Need for approval,Social-confidence,Interest in Game-Playing,Self-confidence,Rumination,Love of Reading,Appearance-Consciousness,Trust,Language Mastery,Curiosity,Problem-solving,Self-acceptance,Variety-seeking,Disparagement,Activity-Level,Traditionalism,Intellectual-Breadth,Intellectual-Complexity,Machiavellianism,Locus of Control,"Locus of Control,Internal","Locus of Control,Chance","Locus of Control,Rational","Locus of Control,External",Unlikely Virtues,Joyfulness,Risk-avoidance,Belligerence,Immoderation,Self-consciousness,Vulnerability,Altruism,Cheerfulness,Openness To Experience,Interest in Food,Spirituality/Religiousness,Interest in Romance,Interest in Political Activism,Interest in Sports,Interest in Home-Making,Interest in Pets,Interest in Drinking,Interest in Gambling,Interest in Collecting,Interest in Vehicles,Interest in Self-Improvement,Interest in Gardening,Interest in Money,Interest in Shopping,Interest in Environmentalism,Interest in Exercise,Interest in Music,Interest in Children,Love of Learning,Interest in Computing,Interest in Journaling,Interest in Social Media,Interest in Watching Television,Interest in Travel,Interest in Outdoor Activities,Science Interest,Construction/Mechanical Interests,Self-esteem,Self-monitoring,ADHD,Social-discomfort,Satisfaction,Romanticism,Femininity,Harm-Avoidance,Rebelliousness,Initiative,Recklessness,Extravagance,Bravery/Courage/Valor,Judgment/Open-mindedness,Social/Personal/Emotional Intelligence,Gratitude,Teamwork/Citizenship,Wisdom/Perspective,Honesty/Integrity/Authenticity,Kindness/Generosity,Capacity for Love
Cacioppo1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT-PD,,3.5,,,,,2.6666666666666665,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,2.8,,,2.3333333333333335,2.0,2.0,3.0,2.0,3.8,2.857142857142857,2.0,3.2857142857142856,2.5714285714285716,2.5,1.5,2.9,2.3333333333333335,2.625,2.5,1.25,2.5,2.1666666666666665,4.166666666666667,2.142857142857143,2.6666666666666665,2.5,2.1666666666666665,1.7142857142857142,1.0,2.2857142857142856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapman1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3333333333333335,3.1666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI,,,,,,,3.2,2.8,4.375,,,,4.142857142857143,3.1,3.6,,,,,,,,,,3.6666666666666665,,,,,,,3.1,,3.6,,,,,,,,,,,3.3333333333333335,,,,,,,3.5,,2.8,,,,,,,,,,,,,3.5,,,,,,,,4.0,3.2222222222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.111111111111111,4.5,3.2,3.5,3.2,4.181818181818182,4.1,3.3,3.0,2.2,3.6,3.1,4.0,3.2222222222222223,3.4,3.5555555555555554,3.888888888888889,3.4166666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foa1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foa2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.111111111111111,3.4166666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldberg1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.225806451612903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEXACO_PI,,2.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.125,,3.9,3.3333333333333335,,,,,4.0,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.625,,,,,3.6,3.6,3.7,3.1,4.7,2.8,3.1,3.6,3.6,3.0,3.7,4.2,3.2,3.0,3.5,3.9,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoyle2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0833333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPI,3.2,,,,,,,,,,3.8,,3.25,,,,,,,,,,,,,,,,,,,3.5714285714285716,3.3333333333333335,,,,,,,,,,,,3.25,,,3.857142857142857,,,3.5555555555555554,,,3.5,,,,,,,,,,,,3.6,4.5,,,,2.5,,,,,3.888888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPI-HIC,3.3333333333333335,,,,1.8,,,,,,,,3.0,,2.0,4.333333333333333,,,3.6,,4.2,,,,,,,,,2.3333333333333335,,3.1,5.0,,,,,,,,,,,,3.0,3.6666666666666665,,,,,3.4,,,,3.3333333333333335,,,4.166666666666667,,,,,,,3.7,,3.3333333333333335,,,4.666666666666667,,3.5,,,,,,,,,,,,,3.0,,5.0,,,,,,,4.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3333333333333335,2.5,,,,,,,,,,,,,,,,,,,,,,,,,4.375,,,,,,3.0,3.3333333333333335,3.0,3.1666666666666665,3.1666666666666665,4.0,3.75,3.1666666666666665,4.25,4.833333333333333,3.75,3.3333333333333335,3.6666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPIP-IPC,3.5,,,,,,3.0,,,4.5,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPI,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.333333333333333,,,,,3.625,,3.4,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.333333333333333,4.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,3.111111111111111,,,,,,,,,,,,,3.3,3.3,3.8,3.7,2.6666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levenson1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,3.5,2.5,3.0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPQ,,,,,,,,3.0,,,3.6666666666666665,2.8,,,,,4.666666666666667,,3.6,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.176470588235294,3.6,3.4,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEO,2.8,3.6666666666666665,3.6,,4.0,,,3.0,,,,,4.428571428571429,,,,3.25,,4.2,,,,,,4.0,,,,,,,,,,,,,,,,,,4.111111111111111,,,,,,,,,,4.166666666666667,,,,3.8333333333333335,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,2.6,,,4.0,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,2.5555555555555554,,,,,,,,,,,,,,,,,3.4,,,,,,3.8,3.6666666666666665,,,,,,,,,,,,,,,,,,,,,2.857142857142857,,,,,,,,,,,3.8,,,,,,,2.3333333333333335,,,,,,,,,,,,,,3.1,3.0,2.6,4.1,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEO5-20,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,3.3333333333333335,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORAIS,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.6666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,4.2,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.142857142857143,3.7142857142857144,3.5,3.857142857142857,3.8333333333333335,3.5714285714285716,4.5,3.2,2.5,4.0,3.0,3.8,3.8333333333333335,3.3333333333333335,3.857142857142857,4.428571428571429,3.5714285714285716,3.5,4.333333333333333,4.333333333333333,4.5,4.166666666666667,4.4,3.5714285714285716,4.0,3.5,,,,,,,,,,,,,,,,,,,,,,,
ORVIS,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,3.8333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,3.9166666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,4.230769230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,3.7,,,,,,,,,,,,,,,,,,,,,
Radloff1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9523809523809526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosenberg1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,
Scheier1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snyder1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,
